NFT_Name,Last_Sale_Price
0,NA
1,NA
2,NA
3,NA
4,NA
5,NA
6,89 WETH
7,NA
8,NA
9,100 ETH
10,80 ETH
11,20 ETH
12,NA
13,99 ETH
14,NA
15,38.77 ETH
16,54 ETH
17,96 WETH
18,0.0001 ETH
19,1.5 ETH
20,200 ETH
21,NA
22,7.99 ETH
23,289 ETH
24,NA
25,0.63 ETH
26,NA
27,29.6 WETH
28,69.69 ETH
29,112 ETH
30,NA
31,39.69 ETH
32,2.5 ETH
33,3.33 ETH
34,192 ETH
35,40 ETH
36,59.11 WETH
37,55 ETH
38,1.8 ETH
39,80 ETH
40,16.1 ETH
41,44.5 ETH
42,7 ETH
43,65 ETH
44,7 ETH
45,34.69 ETH
46,NA
47,NA
48,0.2 ETH
49,100 ETH
50,130 WETH
51,133 WETH
52,3 ETH
53,1 ETH
54,8.87 ETH
55,220 WETH
56,51.8 ETH
57,NA
58,88 ETH
59,5.888 ETH
60,NA
61,15 ETH
62,44 ETH
63,NA
64,47 ETH
65,0.55 ETH
66,1.02 WETH
67,130 ETH
68,0.5 WETH
69,1.95 ETH
70,115 ETH
71,145 ETH
72,1.2999 ETH
73,30 WETH
74,167.99 ETH
75,98 ETH
76,50.69 ETH
77,0.25 ETH
78,40 ETH
79,14 ETH
80,5.85 ETH
81,0.375 ETH
82,35.748 ETH
83,0.7 ETH
84,4.99 ETH
85,2.39 ETH
86,81.18 ETH
87,0.5 ETH
88,1.797 ETH
89,118 ETH
90,0.5 ETH
91,4.469 ETH
92,50 ETH
93,1 ETH
94,128 WETH
95,0.64 ETH
96,NA
97,1.5 ETH
98,116 ETH
99,37 ETH
100,120 ETH
101,89 ETH
102,51 ETH
103,34.9 ETH
104,NA
105,114.5 ETH
106,NA
107,NA
108,27.4 ETH
109,100 WETH
110,NA
111,NA
112,7.77 ETH
113,NA
114,33 ETH
115,6.95 ETH
116,NA
117,100 ETH
118,200 WETH
119,105 ETH
120,10 ETH
121,NA
122,23 ETH
123,5.5 ETH
124,2.59 ETH
125,1 ETH
126,122.88 ETH
127,0.43 ETH
128,138 WETH
129,37.99 ETH
130,0.49 ETH
131,5.485 ETH
132,80 ETH
133,0.49 ETH
134,1.66 ETH
135,124 ETH
136,1.3 WETH
137,1.3 ETH
138,10.47 ETH
139,101 WETH
140,7.29 ETH
141,32.95 ETH
142,50 ETH
143,NA
144,0.35 WETH
145,NA
146,1.25 ETH
147,25 ETH
148,NA
149,0.3971 ETH
150,55 ETH
151,NA
152,86 ETH
153,NA
154,65.5 ETH
155,NA
156,31 ETH
157,49.99 ETH
158,43.75 ETH
159,111.69 WETH
160,94 WETH
161,36.4 ETH
162,62.99 ETH
163,69.69 ETH
164,NA
165,NA
166,81 WETH
167,93.75 ETH
168,53.5 ETH
169,86.69 ETH
170,22.5 ETH
171,60.24 ETH
172,4.2 ETH
173,3.69 ETH
174,5.2 ETH
175,69.4 ETH
176,171 ETH
177,8.7 ETH
178,1.45 ETH
179,16.5 ETH
180,6.99 ETH
181,86 WETH
182,6.3 ETH
183,3.19 ETH
184,4.78 ETH
185,36 ETH
186,2.2999 ETH
187,NA
188,82 ETH
189,99.79 ETH
190,115 ETH
191,49 ETH
192,113.99 ETH
193,1.59 ETH
194,0.3199 ETH
195,108 WETH
196,11 ETH
197,109 WETH
198,113 ETH
199,92.69 ETH
200,200 ETH
201,0.35 ETH
202,202 WETH
203,111 WETH
204,NA
205,93.13 WETH
206,0.14 ETH
207,80 ETH
208,178.8 ETH
209,105 WETH
210,95 ETH
211,201 WETH
212,90 ETH
213,109 ETH
214,119.99 ETH
215,60 WETH
216,129.999 ETH
217,55 ETH
218,17 ETH
219,83.69 ETH
220,16.18 ETH
221,3.1 ETH
222,144 WETH
223,119 ETH
224,120 ETH
225,0.0000 ETH
226,210 ETH
227,NA
228,99.99 ETH
229,6.45 WETH
230,110.69 ETH
231,NA
232,"1,080.69 WETH"
233,NA
234,NA
235,NA
236,0.6 ETH
237,47 ETH
238,NA
239,86 ETH
240,69 ETH
241,130 ETH
242,NA
243,0.8888 ETH
244,53 WETH
245,3.99 ETH
246,0.75 ETH
247,125 ETH
248,2.2 WETH
249,133.333 ETH
250,52.4207 ETH
251,0.844 ETH
252,18.5 ETH
253,76 ETH
254,0.833 ETH
255,NA
256,41.55 ETH
257,19.3 ETH
