NFT_Name,Price,Currency
1904,3.3,ETH
4008,38.2,ETH
4572,9.0,ETH
4771,0.35,ETH
5353,85.0,ETH
6824,0.32,ETH
7398,6.1,ETH
7856,3.4453,ETH
8179,0.44,ETH
8592,12.75,ETH
8698,0.75,ETH
18,18.0,ETH
1565,6.0,ETH
3159,10.0,ETH
3411,9.0,ETH
5053,4.5,ETH
5560,4.5,ETH
4812,8.5,ETH
5717,1.0,ETH
8547,0.72,ETH
8286,4.99,ETH
6452,52.69,ETH
8252,0.01,ETH
2074,0.06,ETH
4785,0.06,ETH
9204,0.06,ETH
835,0.0621,ETH
2992,0.065,ETH
6013,0.065,ETH
2172,0.07,ETH
3471,0.07,ETH
5323,0.07,ETH
1168,0.075,ETH
2993,0.075,ETH
4784,0.075,ETH
4955,0.075,ETH
757,0.08,ETH
2265,0.08,ETH
2407,0.085,ETH
7256,0.088,ETH
663,0.089,ETH
1821,0.089,ETH
1026,0.09,ETH
4564,0.09,ETH
3276,0.0911,ETH
3440,0.1,ETH
3443,0.1,ETH
4778,0.1,ETH
6759,0.1,ETH
6462,0.108,ETH
6732,0.11,ETH
4773,0.115,ETH
742,0.12,ETH
832,0.12,ETH
1640,0.12,ETH
2057,0.12,ETH
3148,0.12,ETH
6115,0.12,ETH
7003,0.12,ETH
7342,0.12,ETH
7436,0.12,ETH
8945,0.12,ETH
8007,0.123,ETH
484,0.13,ETH
1424,0.13,ETH
2056,0.13,ETH
3019,0.13,ETH
6198,0.13,ETH
9359,0.13,ETH
8923,0.138915,ETH
206,0.14,ETH
2067,0.14,ETH
2143,0.14,ETH
3143,0.14,ETH
3204,0.14,ETH
4228,0.14,ETH
4787,0.145,ETH
4957,0.145,ETH
969,0.1499,ETH
1025,0.1499,ETH
7318,0.1499,ETH
1325,0.15,ETH
2064,0.15,ETH
2637,0.15,ETH
3779,0.15,ETH
3881,0.15,ETH
4234,0.15,ETH
4775,0.15,ETH
6632,0.15,ETH
7770,0.15,ETH
8808,0.15,ETH
9033,0.15,ETH
9972,0.15,ETH
1385,0.16,ETH
1682,0.16,ETH
2599,0.16,ETH
5946,0.16,ETH
8359,0.16,ETH
4942,0.1663,ETH
5746,0.17,ETH
9192,0.17,ETH
9826,0.17,ETH
2047,0.18,ETH
2877,0.18,ETH
8896,0.18,ETH
9938,0.18,ETH
6332,0.1839,ETH
9803,0.184,ETH
2010,0.185,ETH
3935,0.185,ETH
7212,0.189,ETH
738,0.19,ETH
2018,0.19,ETH
5541,0.19,ETH
5820,0.19,ETH
6040,0.19,ETH
6043,0.19,ETH
6124,0.19,ETH
6126,0.19,ETH
6247,0.19,ETH
8973,0.19,ETH
1399,0.194,ETH
963,0.195,ETH
2254,0.198,ETH
9638,0.198,ETH
9953,0.198,ETH
8769,0.199,ETH
8771,0.199,ETH
9802,0.199,ETH
9578,0.1999,ETH
9899,0.1999,ETH
48,0.2,ETH
397,0.2,ETH
2202,0.2,ETH
2353,0.2,ETH
3367,0.2,ETH
3476,0.2,ETH
3751,0.2,ETH
3778,0.2,ETH
4558,0.2,ETH
4569,0.2,ETH
4576,0.2,ETH
4760,0.2,ETH
5674,0.2,ETH
5764,0.2,ETH
5765,0.2,ETH
6007,0.2,ETH
6533,0.2,ETH
6707,0.2,ETH
6717,0.2,ETH
6823,0.2,ETH
6986,0.2,ETH
7643,0.2,ETH
8119,0.2,ETH
8561,0.2,ETH
8568,0.2,ETH
8882,0.2,ETH
9146,0.2,ETH
9156,0.2,ETH
9216,0.2,ETH
9321,0.2,ETH
9322,0.2,ETH
9674,0.2,ETH
3570,0.2021,ETH
6340,0.21,ETH
6680,0.21,ETH
6885,0.21,ETH
8838,0.21,ETH
9797,0.21,ETH
9819,0.21,ETH
759,0.22,ETH
3958,0.22,ETH
5215,0.22,ETH
5261,0.22,ETH
5976,0.22,ETH
7117,0.22,ETH
5362,0.23,ETH
5590,0.23,ETH
5591,0.23,ETH
5640,0.23,ETH
6539,0.23,ETH
8738,0.23,ETH
9582,0.2333,ETH
2013,0.235,ETH
7526,0.2388,ETH
917,0.24,ETH
3034,0.24,ETH
3389,0.24,ETH
4398,0.24,ETH
5170,0.24,ETH
5807,0.24,ETH
6051,0.24,ETH
6058,0.24,ETH
6414,0.24,ETH
6421,0.24,ETH
6424,0.24,ETH
7288,0.24,ETH
7971,0.24,ETH
8387,0.24,ETH
8729,0.24,ETH
8853,0.24,ETH
9092,0.24,ETH
9139,0.24,ETH
9771,0.24,ETH
8839,0.242,ETH
3887,0.2444,ETH
6066,0.245,ETH
7149,0.245,ETH
6700,0.246,ETH
9808,0.247,ETH
6391,0.248,ETH
1524,0.2499,ETH
1627,0.2499,ETH
8665,0.2499,ETH
77,0.25,ETH
588,0.25,ETH
1097,0.25,ETH
1126,0.25,ETH
1206,0.25,ETH
2060,0.25,ETH
2547,0.25,ETH
2913,0.25,ETH
2988,0.25,ETH
3325,0.25,ETH
3334,0.25,ETH
3350,0.25,ETH
3472,0.25,ETH
3581,0.25,ETH
3589,0.25,ETH
3590,0.25,ETH
3597,0.25,ETH
3598,0.25,ETH
3776,0.25,ETH
4325,0.25,ETH
4513,0.25,ETH
4729,0.25,ETH
4900,0.25,ETH
4977,0.25,ETH
5364,0.25,ETH
5716,0.25,ETH
5835,0.25,ETH
5838,0.25,ETH
5843,0.25,ETH
5848,0.25,ETH
5853,0.25,ETH
6204,0.25,ETH
6241,0.25,ETH
6392,0.25,ETH
6401,0.25,ETH
6713,0.25,ETH
6722,0.25,ETH
6870,0.25,ETH
6873,0.25,ETH
7407,0.25,ETH
7748,0.25,ETH
7868,0.25,ETH
8112,0.25,ETH
9150,0.25,ETH
9307,0.25,ETH
9597,0.25,ETH
9598,0.25,ETH
9846,0.25,ETH
6545,0.2539,ETH
2908,0.255,ETH
6676,0.255,ETH
4534,0.26,ETH
5973,0.26,ETH
6840,0.26,ETH
7662,0.26,ETH
7892,0.26,ETH
8569,0.26,ETH
9933,0.26,ETH
1160,0.265,ETH
4598,0.265,ETH
1363,0.269,ETH
4919,0.269,ETH
2879,0.27,ETH
3060,0.27,ETH
3769,0.27,ETH
3774,0.27,ETH
3788,0.27,ETH
3894,0.27,ETH
3923,0.27,ETH
3940,0.27,ETH
4192,0.27,ETH
4501,0.27,ETH
5077,0.27,ETH
5079,0.27,ETH
5095,0.27,ETH
5137,0.27,ETH
6889,0.27,ETH
6917,0.27,ETH
7276,0.27,ETH
8096,0.27,ETH
6899,0.275,ETH
7219,0.275,ETH
7430,0.275,ETH
7881,0.279,ETH
9956,0.2799,ETH
1542,0.28,ETH
2867,0.28,ETH
2871,0.28,ETH
2979,0.28,ETH
3383,0.28,ETH
3480,0.28,ETH
6041,0.28,ETH
6049,0.28,ETH
6056,0.28,ETH
6428,0.28,ETH
6769,0.28,ETH
7554,0.28,ETH
8040,0.28,ETH
8545,0.28,ETH
9148,0.28,ETH
9163,0.28,ETH
9277,0.28,ETH
9679,0.28,ETH
9837,0.28,ETH
9958,0.288,ETH
9232,0.289,ETH
1520,0.29,ETH
2080,0.29,ETH
3261,0.29,ETH
3800,0.29,ETH
8088,0.29,ETH
9624,0.29,ETH
4109,0.2907,ETH
6871,0.299,ETH
6893,0.299,ETH
8347,0.299,ETH
8184,0.2998,ETH
3737,0.2999,ETH
4851,0.2999,ETH
6537,0.2999,ETH
638,0.3,ETH
921,0.3,ETH
1244,0.3,ETH
1291,0.3,ETH
1403,0.3,ETH
1523,0.3,ETH
2210,0.3,ETH
2548,0.3,ETH
2855,0.3,ETH
3085,0.3,ETH
3321,0.3,ETH
3355,0.3,ETH
3831,0.3,ETH
4362,0.3,ETH
4434,0.3,ETH
4510,0.3,ETH
5671,0.3,ETH
5827,0.3,ETH
5969,0.3,ETH
6359,0.3,ETH
6530,0.3,ETH
6715,0.3,ETH
7126,0.3,ETH
7956,0.3,ETH
8002,0.3,ETH
8093,0.3,ETH
8558,0.3,ETH
8892,0.3,ETH
9097,0.3,ETH
9308,0.3,ETH
9686,0.3,ETH
9976,0.3,ETH
4111,0.31,ETH
4188,0.31,ETH
4193,0.31,ETH
4333,0.31,ETH
4334,0.31,ETH
4335,0.31,ETH
6687,0.31,ETH
8360,0.31,ETH
1473,0.313,ETH
2770,0.314,ETH
194,0.3199,ETH
895,0.32,ETH
1129,0.32,ETH
2349,0.32,ETH
3382,0.32,ETH
4498,0.32,ETH
5366,0.32,ETH
6343,0.32,ETH
7512,0.32,ETH
9847,0.32,ETH
3733,0.3222,ETH
2977,0.323,ETH
4354,0.325,ETH
4610,0.325,ETH
7995,0.325,ETH
9420,0.328,ETH
9950,0.3288,ETH
9235,0.3299,ETH
323,0.33,ETH
1087,0.33,ETH
1445,0.33,ETH
2009,0.33,ETH
2291,0.33,ETH
2346,0.33,ETH
3616,0.33,ETH
3768,0.33,ETH
3900,0.33,ETH
4342,0.33,ETH
4600,0.33,ETH
6122,0.33,ETH
7261,0.33,ETH
7908,0.33,ETH
8662,0.33,ETH
9113,0.33,ETH
9536,0.33,ETH
9894,0.33,ETH
624,0.333,ETH
3277,0.333,ETH
8591,0.333,ETH
2722,0.3333,ETH
9652,0.3333,ETH
6771,0.335,ETH
2154,0.3388,ETH
9122,0.339,ETH
733,0.34,ETH
1312,0.34,ETH
2659,0.34,ETH
5390,0.34,ETH
7186,0.34,ETH
7382,0.34,ETH
7525,0.34,ETH
8460,0.34,ETH
9360,0.34,ETH
5254,0.3417,ETH
8713,0.3444,ETH
2217,0.348,ETH
8459,0.348,ETH
5320,0.349,ETH
6021,0.3498,ETH
618,0.3499,ETH
6242,0.3499,ETH
6597,0.3499,ETH
144,0.35,ETH
201,0.35,ETH
953,0.35,ETH
1020,0.35,ETH
1169,0.35,ETH
1353,0.35,ETH
1705,0.35,ETH
1974,0.35,ETH
1980,0.35,ETH
2482,0.35,ETH
2964,0.35,ETH
3331,0.35,ETH
3369,0.35,ETH
3478,0.35,ETH
3593,0.35,ETH
3842,0.35,ETH
4050,0.35,ETH
4439,0.35,ETH
4606,0.35,ETH
4620,0.35,ETH
4834,0.35,ETH
4918,0.35,ETH
5165,0.35,ETH
5365,0.35,ETH
5431,0.35,ETH
5548,0.35,ETH
5578,0.35,ETH
5628,0.35,ETH
5631,0.35,ETH
5841,0.35,ETH
7014,0.35,ETH
7416,0.35,ETH
7422,0.35,ETH
7498,0.35,ETH
8111,0.35,ETH
8127,0.35,ETH
8260,0.35,ETH
8541,0.35,ETH
8623,0.35,ETH
8755,0.35,ETH
8819,0.35,ETH
9167,0.35,ETH
9168,0.35,ETH
9185,0.35,ETH
9219,0.35,ETH
9275,0.35,ETH
9380,0.35,ETH
9622,0.35,ETH
6610,0.3503,ETH
7173,0.3503,ETH
600,0.3529,ETH
3615,0.355,ETH
9823,0.355,ETH
281,0.3557,ETH
3789,0.3583,ETH
7217,0.359,ETH
9580,0.359,ETH
347,0.36,ETH
1380,0.36,ETH
1567,0.36,ETH
2410,0.36,ETH
5514,0.36,ETH
5675,0.36,ETH
5719,0.36,ETH
6116,0.36,ETH
7552,0.36,ETH
8967,0.36,ETH
6046,0.365,ETH
7549,0.366,ETH
4126,0.3666,ETH
942,0.369,ETH
4857,0.369,ETH
5542,0.369,ETH
4504,0.37,ETH
4752,0.37,ETH
7893,0.37,ETH
9243,0.37,ETH
9937,0.37,ETH
81,0.375,ETH
284,0.375,ETH
4189,0.375,ETH
4763,0.375,ETH
7283,0.375,ETH
9190,0.375,ETH
5516,0.377,ETH
6828,0.377,ETH
8034,0.3777,ETH
3659,0.379,ETH
6659,0.379,ETH
6919,0.3799,ETH
7005,0.3799,ETH
615,0.38,ETH
1448,0.38,ETH
2219,0.38,ETH
3408,0.38,ETH
5231,0.38,ETH
5392,0.38,ETH
5583,0.38,ETH
5641,0.38,ETH
5693,0.38,ETH
6356,0.38,ETH
7364,0.38,ETH
8068,0.38,ETH
8996,0.38,ETH
9084,0.38,ETH
9589,0.38,ETH
7583,0.385,ETH
1642,0.3875,ETH
7628,0.3888,ETH
7098,0.3899,ETH
7667,0.3899,ETH
770,0.39,ETH
970,0.39,ETH
1451,0.39,ETH
2061,0.39,ETH
2719,0.39,ETH
3339,0.39,ETH
4119,0.39,ETH
